Date,USD_Buy,USD_Sell,EURO_Buy,EURO_Sell,GBP_Buy,GBP_Sell
2019-03-01,99.9456,100.14,113.8361,114.0906,132.6994,132.9989
2019-03-04,99.9417,100.1417,113.5861,113.8522,132.1594,132.4844
2019-03-05,99.9389,100.1389,113.3211,113.5811,132.0761,132.3928
2019-03-06,99.9483,100.1483,113.1556,113.415,130.9272,131.2356
2019-03-07,99.9239,100.1239,112.92,113.1806,131.275,131.5778
2019-03-08,99.61,99.81,112.0956,112.35,130.6433,130.95
2019-03-11,99.5511,99.7511,111.6572,111.9128,130.0828,130.3783
2019-03-12,99.5056,99.7056,111.9394,112.1878,129.9739,130.2772
2019-03-13,100.0861,100.2861,112.8983,113.15,131.1572,131.4428
2019-03-14,100.14,100.34,113.125,113.3789,131.8972,132.2106
2019-03-15,100.0678,100.2678,113.105,113.3672,132.5639,132.8667
2019-03-18,100.1956,100.3956,113.5744,113.8272,133.1339,133.4183
2019-03-19,100.5583,100.7583,114.0883,114.3539,133.0289,133.3339
2019-03-20,100.75,100.95,114.3978,114.6633,133.7028,134.015
2019-03-21,100.9072,101.1072,114.5533,114.8167,132.9556,133.2594
2019-03-22,100.6778,100.8778,114.6506,114.9172,132.41,132.7139
2019-03-25,100.6028,100.8028,113.6822,113.9356,132.6361,132.9594
2019-03-26,100.8639,101.0639,114.1039,114.3672,133.0706,133.3744
2019-03-27,100.8556,101.0556,113.8967,114.155,133.3972,133.7122
2019-03-28,100.7778,100.9778,113.4167,113.6811,133.3028,133.605
2019-03-29,100.65,100.85,112.9128,113.1739,131.6994,131.9961
2019-04-01,100.6861,100.875,113.04,113.2739,131.5322,131.805
2019-04-02,100.7444,100.9444,113.1328,113.3789,132.0806,132.3833
2019-04-03,100.8033,101.0033,112.9194,113.1744,131.4533,131.7428
2019-04-04,100.7006,100.9006,113.0694,113.3256,132.3011,132.6106
2019-04-05,100.6167,100.8167,112.8283,113.0861,131.9911,132.2867
2019-04-08,100.5361,100.7306,112.8783,113.13,131.0672,131.3583
2019-04-09,100.5417,100.7417,113.3189,113.5806,131.1817,131.4806
2019-04-10,100.7422,100.9422,113.4567,113.7117,131.6633,131.9606
2019-04-11,100.9944,101.1944,113.5611,113.83,132.0406,132.3328
2019-04-12,100.8528,101.0528,113.5644,113.8217,131.8983,132.1911
2019-04-15,100.8906,101.0906,114.1756,114.4322,132.2833,132.5906
2019-04-16,100.8972,101.0972,114.0994,114.3583,132.2589,132.5594
2019-04-17,100.9556,101.1556,114.0922,114.3544,131.8772,132.1694
2019-04-18,101.1583,101.3583,114.3083,114.5572,131.9328,132.2294
2019-04-23,101.2339,101.4367,113.8778,114.135,131.75,132.0528
2019-04-24,101.4361,101.6361,113.775,114.03,131.4483,131.7383
2019-04-25,101.4478,101.6478,113.6583,113.9239,131.3294,131.6217
2019-04-26,101.4122,101.6122,112.9583,113.205,130.6583,130.9467
2019-04-29,101.3872,101.5928,113.2922,113.5533,130.8422,131.1406
2019-04-30,101.2789,101.4817,112.9822,113.2311,130.8306,131.1222
2019-05-02,101.0972,101.2972,113.3217,113.5839,132.1561,132.4639
2019-05-03,100.8,101.0,112.805,113.0656,131.4128,131.7033
2019-05-06,100.9978,101.1978,112.6889,112.9417,131.4744,131.7744
2019-05-07,100.8417,101.0417,112.835,113.1022,132.0472,132.3461
2019-05-08,100.9472,101.1472,112.9011,113.16,131.7567,132.0517
2019-05-09,101.0856,101.2856,113.2117,113.4722,131.6122,132.0378
2019-05-10,101.0344,101.2344,113.0756,113.3278,131.0856,131.3872
2019-05-13,100.9778,101.1694,113.4344,113.6811,131.5267,131.9283
2019-05-14,100.9733,101.165,113.5106,113.7606,131.5894,131.8706
2019-05-15,100.9944,101.1944,113.3917,113.6472,130.865,131.1583
2019-05-16,101.0111,101.2028,113.1189,113.3739,130.4356,130.7172
2019-05-17,101.0194,101.2194,113.0767,113.3306,129.3606,129.66
2019-05-20,101.0111,101.2111,112.9311,113.1917,129.0094,129.2972
2019-05-21,101.0117,101.2117,112.7561,113.0156,128.6933,128.9978
2019-05-22,101.0694,101.2694,112.7794,113.0361,128.4939,128.7717
2019-05-23,101.1167,101.3167,112.9161,113.2694,127.875,128.1644
2019-05-24,101.1261,101.3261,112.9633,113.2111,127.9872,128.2689
2019-05-27,101.14,101.34,113.15,113.4056,128.1639,128.4544
2019-05-28,101.14,101.3356,113.1933,113.4483,128.3078,128.595
2019-05-29,101.1778,101.3778,113.2133,113.4706,128.2706,128.5633
2019-05-30,101.3011,101.5011,112.9406,113.1961,128.1556,128.4417
2019-05-31,101.2556,101.4556,112.6783,112.9322,127.8228,128.1011
2019-06-03,101.1872,101.3872,112.895,113.1506,127.3194,127.6111
2019-06-04,101.1806,101.3806,113.2022,113.4578,127.8772,128.1633
2019-06-06,101.25,101.45,113.6528,113.9106,128.3889,128.6772
2019-06-07,101.2,101.4,113.8783,114.1389,128.4489,128.7456
2019-06-10,101.105,101.305,114.2522,114.5156,128.6122,128.9067
2019-06-11,101.1767,101.3767,114.3972,114.6539,128.3217,128.5972
2019-06-12,101.2833,101.4833,114.63,114.8872,128.8883,129.1739
2019-06-13,101.2883,101.4883,114.635,114.8933,128.9517,129.2422
2019-06-14,101.4478,101.6478,114.4433,114.7017,128.7361,129.0367
2019-06-17,101.7167,101.9167,114.3889,114.6394,128.4528,128.7433
2019-06-18,101.9033,102.1033,114.4822,114.7394,128.2772,128.5656
2019-06-19,101.9222,102.1222,114.1456,114.4033,127.6528,127.935
2019-06-20,101.8028,102.0028,114.0572,114.3133,128.1378,128.4228
2019-06-21,101.7722,101.9722,114.9444,115.2056,129.1367,129.4239
2019-06-24,101.7778,101.9778,115.2133,115.4639,128.9883,129.2794
2019-06-25,101.8144,102.0144,115.8839,116.1433,129.5289,129.82
2019-06-26,102.0917,102.2917,116.1367,116.3906,129.7678,130.0628
2019-06-27,102.07,102.27,115.9389,116.1967,129.4967,129.7922
2019-06-28,102.1983,102.3983,116.1806,116.4306,129.8133,130.1061
2019-07-01,102.2606,102.4606,116.4039,116.6667,129.9672,130.2561
2019-07-02,102.6194,102.8194,116.3956,116.6556,129.9372,130.2283
2019-07-03,102.9011,103.1011,116.2894,116.5422,130.0333,130.3128
2019-07-04,102.1944,102.3944,115.3483,115.6078,128.5633,128.8506
2019-07-05,102.5306,102.7306,115.63,115.8828,128.95,129.2372
2019-07-08,102.5083,102.7083,114.9833,115.2444,128.1122,128.3922
2019-07-09,102.5917,102.7917,115.075,115.3244,128.3294,128.61
2019-07-10,102.6494,102.8494,115.0528,115.3089,128.0039,128.29
2019-07-11,102.8222,103.0222,115.4789,115.7333,128.43,128.7111
2019-07-12,102.8217,103.0217,115.8422,116.1022,129.0972,129.3839
2019-07-15,102.8583,103.05,115.7406,115.9994,129.0167,129.2917
2019-07-16,102.9278,103.1278,116.0033,116.2661,129.1506,129.4317
2019-07-17,102.9522,103.1522,115.5578,115.8089,128.1356,128.4122
2019-07-18,102.9617,103.1533,115.48,115.7244,127.7489,128.03
2019-07-19,103.0028,103.2028,115.5478,115.8,128.4556,128.7339
2019-07-22,103.1167,103.3167,115.8422,116.09,129.1633,129.4489
2019-07-23,103.5139,103.7139,116.1361,116.3867,129.1867,129.4667
2019-07-24,103.6628,103.8628,115.6322,115.8828,128.9544,129.2383
2019-07-25,103.925,104.125,115.8361,116.0844,129.7711,130.0583
2019-07-26,103.7,103.9,115.8628,116.1167,129.6383,129.9194
2019-07-29,103.7194,103.9194,115.4389,115.6822,128.8094,129.0956
2019-07-30,103.9733,104.1733,115.6894,115.9306,127.6556,127.9333
2019-07-31,104.1139,104.3056,115.8172,116.0728,126.7356,127.0189
2019-08-01,104.0722,104.2722,115.9806,116.2378,126.9522,127.235
2019-08-02,103.1322,103.3322,113.8594,114.1128,124.7711,125.045
2019-08-05,102.9056,103.1056,114.1917,114.4472,124.8106,125.0872
2019-08-06,103.1056,103.2972,115.2822,115.5261,125.4206,125.6883
2019-08-07,103.1722,103.3722,115.3561,115.6117,125.635,125.9072
2019-08-08,103.3389,103.5361,115.9239,116.1678,125.5272,125.7989
2019-08-09,103.2761,103.4706,115.69,115.9433,125.315,125.59
2019-08-13,102.9639,103.1694,115.2917,115.5528,124.2894,124.5772
2019-08-14,103.1533,103.3533,115.59,115.8444,124.5483,124.8111
2019-08-15,103.1661,103.3606,115.3106,115.5678,124.5494,124.8161
2019-08-16,103.235,103.4294,114.9961,115.2472,125.1672,125.4333
2019-08-19,103.2844,103.4789,114.5322,114.7822,125.6217,125.8861
2019-08-20,103.1906,103.3933,114.5433,114.7917,125.0422,125.3211
2019-08-21,102.8694,103.0694,113.9933,114.2506,124.41,124.6889
2019-08-22,102.8611,103.0611,114.1428,114.3867,124.7994,125.0722
2019-08-23,102.9583,103.1583,114.1517,114.4033,125.6906,125.9717
2019-08-26,103.0789,103.2789,114.0944,114.3411,126.2161,126.4933
